id,text
002.jpeg,10%
002.jpeg,1
002.jpeg,"400,00"
002.jpeg,4
002.jpeg,"200,00"
002.jpeg,10%
002.jpeg,"217,00"
002.jpeg,"217,00"
002.jpeg,10%
002.jpeg,"159,99"
002.jpeg,"479,97"
002.jpeg,10%
002.jpeg,"390,00"
002.jpeg,"780,00"
002.jpeg,10%
002.jpeg,Net
002.jpeg,worth
002.jpeg,VAT
002.jpeg,6
002.jpeg,"236,77"
002.jpeg,"623,68"
002.jpeg,$
002.jpeg,6
002.jpeg,"236,77"
002.jpeg,$
002.jpeg,"623,68"
002.jpeg,Gross
002.jpeg,worth
002.jpeg,"615,78"
002.jpeg,4
002.jpeg,"620,00"
002.jpeg,"238,70"
002.jpeg,"527,97"
002.jpeg,"858,00"
002.jpeg,Gross
002.jpeg,worth
002.jpeg,6
002.jpeg,"860,45"
002.jpeg,$
002.jpeg,6
002.jpeg,"860,45"
003.jpeg,Invoice
003.jpeg,no:
003.jpeg,19471831
003.jpeg,Date
003.jpeg,of
003.jpeg,issue:
003.jpeg,Seller:
003.jpeg,Palmer
003.jpeg,Ltd
003.jpeg,9790
003.jpeg,Bauer
003.jpeg,Hills
003.jpeg,Apt.
003.jpeg,146
003.jpeg,South
003.jpeg,"Patriciaton,"
003.jpeg,SD
003.jpeg,32497
003.jpeg,Tax
003.jpeg,Id:
003.jpeg,924-71-1106
003.jpeg,IBAN:
003.jpeg,GBO5YUTG50853913677557
003.jpeg,ITEMS
003.jpeg,No.
003.jpeg,Description
003.jpeg,1
003.jpeg,"15""x15"""
003.jpeg,White
003.jpeg,Decorative
003.jpeg,Coffee
003.jpeg,Table
003.jpeg,Top
003.jpeg,Lapis
003.jpeg,Lazuli
003.jpeg,Marquetery
003.jpeg,Patio
003.jpeg,Décor
003.jpeg,2.
003.jpeg,4'x2'
003.jpeg,Marble
003.jpeg,Dining
003.jpeg,Table
003.jpeg,Top
003.jpeg,Pietra
003.jpeg,Dura
003.jpeg,Birds
003.jpeg,Inlay
003.jpeg,Art
003.jpeg,Furniture
003.jpeg,Decors
003.jpeg,B444
003.jpeg,3:
003.jpeg,60
003.jpeg,Inches
003.jpeg,Marble
003.jpeg,Dinning
003.jpeg,Table
003.jpeg,Top
003.jpeg,Hand
003.jpeg,Inlaid
003.jpeg,Garden
003.jpeg,Table
003.jpeg,with
003.jpeg,Gemstones
003.jpeg,SUMMARY
003.jpeg,Total
003.jpeg,Qty
003.jpeg,"3,00"
003.jpeg,"5,00"
003.jpeg,"5,00"
003.jpeg,VAT
003.jpeg,[%]
003.jpeg,10%
003.jpeg,04/09/2014
003.jpeg,UM
003.jpeg,each
003.jpeg,each
003.jpeg,each
003.jpeg,Client:
003.jpeg,"Rios,"
003.jpeg,Oneill
003.jpeg,and
003.jpeg,Rowe
003.jpeg,3571
003.jpeg,Tina
003.jpeg,Trafficway
003.jpeg,"Buckleyland,"
003.jpeg,LA
003.jpeg,97688
003.jpeg,Tax
003.jpeg,Id:
003.jpeg,922-72-5979
003.jpeg,Net
003.jpeg,price
003.jpeg,Net
003.jpeg,worth
003.jpeg,VAT
003.jpeg,[%]
003.jpeg,"645,77"
003.jpeg,193731
003.jpeg,1
003.jpeg,"840,10"
003.jpeg,9
003.jpeg,"200,50"
003.jpeg,5
003.jpeg,"908,00"
003.jpeg,29
003.jpeg,"540,00"
003.jpeg,Net
003.jpeg,worth
003.jpeg,VAT
003.jpeg,40
003.jpeg,"677,81"
003.jpeg,4
003.jpeg,"067,78"
003.jpeg,$
003.jpeg,40
003.jpeg,"677,81"
003.jpeg,$
003.jpeg,4
003.jpeg,"067,78"
003.jpeg,10%
003.jpeg,10%
003.jpeg,10%
003.jpeg,Gross
003.jpeg,worth
003.jpeg,2
003.jpeg,"131,04"
003.jpeg,10
003.jpeg,"120,55"
003.jpeg,32
003.jpeg,"494,00"
003.jpeg,Gross
003.jpeg,worth
003.jpeg,44
003.jpeg,"745,59"
003.jpeg,$
003.jpeg,44
003.jpeg,"745,59"
004.jpeg,Invoice
004.jpeg,no:
004.jpeg,16273983
004.jpeg,Date
004.jpeg,of
004.jpeg,issue:
004.jpeg,Seller:
004.jpeg,"Reyes,"
004.jpeg,Holloway
004.jpeg,and
004.jpeg,Lee
004.jpeg,38676
004.jpeg,Johnson
004.jpeg,Burg
004.jpeg,Suite
004.jpeg,666
004.jpeg,West
004.jpeg,"Rebeccamouth,"
004.jpeg,SD
004.jpeg,02588
004.jpeg,Tax
004.jpeg,Id:
004.jpeg,909-83-7738
004.jpeg,IBAN:
004.jpeg,GB96VWUL52026848004193
004.jpeg,ITEMS
004.jpeg,No.
004.jpeg,Description
004.jpeg,Qty
004.jpeg,tks
004.jpeg,Handmade
004.jpeg,Thick
004.jpeg,round
004.jpeg,warm
004.jpeg,"4,00"
004.jpeg,crochet
004.jpeg,Rug
004.jpeg,Carpet
004.jpeg,Mat
004.jpeg,97%
004.jpeg,acrylic
004.jpeg,3%
004.jpeg,me
004.jpeg,Floor
004.jpeg,Decor
004.jpeg,2.
004.jpeg,Rug
004.jpeg,White
004.jpeg,Moroccan
004.jpeg,Beni
004.jpeg,"2,00"
004.jpeg,Ourain
004.jpeg,Trellis
004.jpeg,Shag
004.jpeg,Area
004.jpeg,Rug
004.jpeg,Authentic
004.jpeg,Handmade
004.jpeg,Carpet
004.jpeg,3:
004.jpeg,Abstract
004.jpeg,Living
004.jpeg,Room
004.jpeg,Carpet
004.jpeg,"1,00"
004.jpeg,Home
004.jpeg,Decor
004.jpeg,Nordic
004.jpeg,Style
004.jpeg,Bedside
004.jpeg,Area
004.jpeg,Rug
004.jpeg,Floor
004.jpeg,Mats
004.jpeg,4.
004.jpeg,Leopard
004.jpeg,Printed
004.jpeg,Rug
004.jpeg,Skin
004.jpeg,Mat
004.jpeg,"1,00"
004.jpeg,Leather
004.jpeg,Faux
004.jpeg,Fur
004.jpeg,Animals
004.jpeg,Area
004.jpeg,Rugs
004.jpeg,Home
004.jpeg,Carpets
004.jpeg,Se
004.jpeg,1pc
004.jpeg,Exquisite
004.jpeg,Durable
004.jpeg,Foot
004.jpeg,"2,00"
004.jpeg,Cloth
004.jpeg,Christmas
004.jpeg,Carpet
004.jpeg,Xmas
004.jpeg,Cushion
004.jpeg,for
004.jpeg,Kitchen
004.jpeg,SUMMARY
004.jpeg,VAT
004.jpeg,[%]
004.jpeg,10%
004.jpeg,Total
004.jpeg,04/01/2017
004.jpeg,UM
004.jpeg,each
004.jpeg,each
004.jpeg,each
004.jpeg,each
004.jpeg,each
004.jpeg,Client:
004.jpeg,Castillo
004.jpeg,LLC
004.jpeg,70391
004.jpeg,Kelsey
004.jpeg,Terrace
004.jpeg,"Garcialand,"
004.jpeg,VT
004.jpeg,41740
004.jpeg,Tax
004.jpeg,Id:
004.jpeg,901-88-0463
004.jpeg,Net
004.jpeg,price
004.jpeg,"44,99"
004.jpeg,"245,00"
004.jpeg,"24,01"
004.jpeg,"19,49"
004.jpeg,Net
004.jpeg,worth
004.jpeg,"744,60"
004.jpeg,$
004.jpeg,"744,60"
004.jpeg,Net
004.jpeg,worth
004.jpeg,VAT
004.jpeg,[%]
004.jpeg,"179,96"
004.jpeg,10%
004.jpeg,"490,00"
004.jpeg,10%
004.jpeg,"24,01"
004.jpeg,10%
004.jpeg,"19,49"
004.jpeg,10%
004.jpeg,"31,14"
004.jpeg,10%
004.jpeg,VAT
004.jpeg,"74,46"
004.jpeg,$
004.jpeg,"74,46"
004.jpeg,Gross
004.jpeg,worth
004.jpeg,"197,96"
004.jpeg,"539,00"
004.jpeg,"26,41"
004.jpeg,"21,44"
004.jpeg,"34,25"
004.jpeg,Gross
004.jpeg,worth
004.jpeg,"819,06"
004.jpeg,$
004.jpeg,"819,06"
005.jpeg,Invoice
005.jpeg,no:
005.jpeg,89969473
005.jpeg,Date
005.jpeg,of
005.jpeg,issue:
005.jpeg,Seller:
005.jpeg,Johnson-Martin
005.jpeg,3836
005.jpeg,Moore
005.jpeg,Ports
005.jpeg,North
005.jpeg,"Michael,"
005.jpeg,MO
005.jpeg,01844
005.jpeg,Tax
005.jpeg,Id:
005.jpeg,972-82-0713
005.jpeg,IBAN:
005.jpeg,GB71GBDG68039919194335
005.jpeg,ITEMS
005.jpeg,No.
005.jpeg,Description
005.jpeg,Qty
005.jpeg,tks
005.jpeg,Wild
005.jpeg,West
005.jpeg,Wine
005.jpeg,"2,00"
005.jpeg,2.
005.jpeg,Press
005.jpeg,Wine
005.jpeg,15L
005.jpeg,Fruit
005.jpeg,Cider
005.jpeg,"2,00"
005.jpeg,Apple
005.jpeg,Crusher
005.jpeg,Juice
005.jpeg,Grape
005.jpeg,Stainless
005.jpeg,Maker
005.jpeg,Grapes
005.jpeg,New
005.jpeg,Be
005.jpeg,Wine
005.jpeg,Rack
005.jpeg,Holder
005.jpeg,Iron
005.jpeg,Art
005.jpeg,"3,00"
005.jpeg,Hanging
005.jpeg,Racks
005.jpeg,Glass
005.jpeg,Cup
005.jpeg,Stemware
005.jpeg,Shelf
005.jpeg,Mounted
005.jpeg,2
005.jpeg,Color
005.jpeg,4.
005.jpeg,Rust
005.jpeg,Proof
005.jpeg,Three
005.jpeg,Rows
005.jpeg,Tool
005.jpeg,"2,00"
005.jpeg,Wine
005.jpeg,Glass
005.jpeg,Holder
005.jpeg,Simple
005.jpeg,Iron
005.jpeg,Wire
005.jpeg,Home
005.jpeg,Hanging
005.jpeg,Rack
005.jpeg,5:
005.jpeg,VTG
005.jpeg,1970s
005.jpeg,MCM
005.jpeg,Brown
005.jpeg,Steel
005.jpeg,"1,00"
005.jpeg,Tube
005.jpeg,Wall
005.jpeg,or
005.jpeg,Desk
005.jpeg,Mounted
005.jpeg,12-Wine
005.jpeg,Rack
005.jpeg,Bottle
005.jpeg,Holder
005.jpeg,SUMMARY
005.jpeg,VAT
005.jpeg,[%]
005.jpeg,10%
005.jpeg,Total
005.jpeg,10/29/2016
005.jpeg,UM
005.jpeg,each
005.jpeg,each
005.jpeg,each
005.jpeg,each
005.jpeg,each
005.jpeg,Client:
005.jpeg,"Deleon,"
005.jpeg,Davila
005.jpeg,and
005.jpeg,Allen
005.jpeg,355
005.jpeg,King
005.jpeg,Lake
005.jpeg,Suite
005.jpeg,071
005.jpeg,South
005.jpeg,"Haleyshire,"
005.jpeg,KY
005.jpeg,55765
005.jpeg,Tax
005.jpeg,Id:
005.jpeg,944-77-3882
005.jpeg,Net
005.jpeg,price
005.jpeg,Net
005.jpeg,worth
005.jpeg,VAT
005.jpeg,[%]
005.jpeg,"27,00"
005.jpeg,"54,00"
005.jpeg,"279,00"
005.jpeg,"558,00"
005.jpeg,"18,75"
005.jpeg,"56,25"
005.jpeg,"11,56"
005.jpeg,"23,12"
005.jpeg,"34,00"
005.jpeg,"34,00"
005.jpeg,Net
005.jpeg,worth
005.jpeg,VAT
005.jpeg,"725,37"
005.jpeg,"72,54"
005.jpeg,$
005.jpeg,"725,37"
005.jpeg,$
005.jpeg,"72,54"
005.jpeg,10%
005.jpeg,10%
005.jpeg,10%
005.jpeg,10%
005.jpeg,10%
005.jpeg,Gross
005.jpeg,worth
005.jpeg,"59,40"
005.jpeg,"613,80"
005.jpeg,"61,87"
005.jpeg,"25,43"
005.jpeg,"37,40"
005.jpeg,Gross
005.jpeg,worth
005.jpeg,"797,91"
005.jpeg,$
005.jpeg,"797,91"
006.jpeg,Invoice
006.jpeg,no:
006.jpeg,72128555
006.jpeg,Date
006.jpeg,of
006.jpeg,issue:
006.jpeg,Seller:
006.jpeg,Obrien
006.jpeg,Group
006.jpeg,6217
006.jpeg,Boyd
006.jpeg,Ville
006.jpeg,Apt.
006.jpeg,758
006.jpeg,"Robbinsberg,"
006.jpeg,AZ
006.jpeg,54997
006.jpeg,Tax
006.jpeg,Id:
006.jpeg,905-82-5399
006.jpeg,IBAN:
006.jpeg,GB71QMAA96406297569205
006.jpeg,ITEMS
006.jpeg,No.
006.jpeg,Description
006.jpeg,Qty
006.jpeg,tks
006.jpeg,Fatawa
006.jpeg,Islamiyah
006.jpeg,(Islamic
006.jpeg,"2,00"
006.jpeg,Verdicts)
006.jpeg,(8
006.jpeg,Volume
006.jpeg,Set)
006.jpeg,2.
006.jpeg,Sasinowski
006.jpeg,M-Legacy
006.jpeg,Of
006.jpeg,Ra
006.jpeg,"1,00"
006.jpeg,BOOK
006.jpeg,NEW
006.jpeg,Be
006.jpeg,Time
006.jpeg,Life
006.jpeg,Books:
006.jpeg,The
006.jpeg,Old
006.jpeg,West
006.jpeg,"3,00"
006.jpeg,Series
006.jpeg,~
006.jpeg,Complete
006.jpeg,26
006.jpeg,Volumes
006.jpeg,+
006.jpeg,Master
006.jpeg,Index
006.jpeg,mn853
006.jpeg,4.
006.jpeg,Tumbling
006.jpeg,by
006.jpeg,Caela
006.jpeg,Carter
006.jpeg,"3,00"
006.jpeg,Se
006.jpeg,How
006.jpeg,to
006.jpeg,Win
006.jpeg,Friends
006.jpeg,&
006.jpeg,Influence
006.jpeg,"2,00"
006.jpeg,People
006.jpeg,SUMMARY
006.jpeg,VAT
006.jpeg,[%]
006.jpeg,10%
006.jpeg,Total
006.jpeg,12/25/2013
006.jpeg,UM
006.jpeg,each
006.jpeg,each
006.jpeg,each
006.jpeg,each
006.jpeg,each
006.jpeg,Client:
006.jpeg,Duncan-Davis
006.jpeg,PSC
006.jpeg,"2324,"
006.jpeg,Box
006.jpeg,6632
006.jpeg,APO
006.jpeg,AP
006.jpeg,93827
006.jpeg,Tax
006.jpeg,Id:
006.jpeg,917-86-7656
006.jpeg,Net
006.jpeg,price
006.jpeg,Net
006.jpeg,worth
006.jpeg,VAT
006.jpeg,[%]
006.jpeg,"99,90"
006.jpeg,"199,80"
006.jpeg,10%
006.jpeg,"19,40"
006.jpeg,"19,40"
006.jpeg,10%
006.jpeg,"139,95"
006.jpeg,"419,85"
006.jpeg,10%
006.jpeg,"4,49"
006.jpeg,"13,47"
006.jpeg,10%
006.jpeg,"6,62"
006.jpeg,"13,24"
006.jpeg,10%
006.jpeg,Net
006.jpeg,worth
006.jpeg,VAT
006.jpeg,"665,76"
006.jpeg,"66,58"
006.jpeg,$
006.jpeg,"665,76"
006.jpeg,$
006.jpeg,"66,58"
006.jpeg,Gross
006.jpeg,worth
006.jpeg,"219,78"
006.jpeg,"21,34"
006.jpeg,"461,83"
006.jpeg,"14,82"
006.jpeg,"14,56"
006.jpeg,Gross
006.jpeg,worth
006.jpeg,"732,34"
006.jpeg,$
006.jpeg,"732,34"
007.jpeg,Invoice
007.jpeg,no:
007.jpeg,11580833
007.jpeg,Date
007.jpeg,of
007.jpeg,issue:
007.jpeg,Seller:
007.jpeg,"Wood,"
007.jpeg,Simpson
007.jpeg,and
007.jpeg,Summers
007.jpeg,7000
007.jpeg,Graves
007.jpeg,Ville
007.jpeg,"Juliastad,"
007.jpeg,OH
007.jpeg,02764
007.jpeg,Tax
007.jpeg,Id:
007.jpeg,968-86-1662
007.jpeg,IBAN:
007.jpeg,GB61VHVS67246807986062
007.jpeg,ITEMS
007.jpeg,No.
007.jpeg,Description
007.jpeg,Qty
007.jpeg,1.
007.jpeg,Dell
007.jpeg,Optiplex
007.jpeg,SFF
007.jpeg,Desktop
007.jpeg,"1,00"
007.jpeg,Computer
007.jpeg,Windows
007.jpeg,10
007.jpeg,4GB
007.jpeg,160GB
007.jpeg,2.
007.jpeg,Dell
007.jpeg,Desktop
007.jpeg,"3,00"
007.jpeg,Core
007.jpeg,2
007.jpeg,Duo
007.jpeg,8GB
007.jpeg,1TB
007.jpeg,HD
007.jpeg,Windows
007.jpeg,10
007.jpeg,PC
007.jpeg,"22"""
007.jpeg,LCD
007.jpeg,Wifi
007.jpeg,3:
007.jpeg,HP
007.jpeg,6200
007.jpeg,Pro
007.jpeg,Core
007.jpeg,i7
007.jpeg,3.4GHz
007.jpeg,"5,00"
007.jpeg,Quad
007.jpeg,Core
007.jpeg,16GB
007.jpeg,500GB
007.jpeg,Computer
007.jpeg,4.
007.jpeg,Vintage
007.jpeg,Microsolutions
007.jpeg,Pentium
007.jpeg,"3,00"
007.jpeg,133mhz
007.jpeg,Desktop
007.jpeg,Tower
007.jpeg,PC
007.jpeg,Windows
007.jpeg,95
007.jpeg,5.25
007.jpeg,Floppy
007.jpeg,Dell
007.jpeg,OptiPlex
007.jpeg,7060
007.jpeg,SFF
007.jpeg,"4,00"
007.jpeg,"Computer,"
007.jpeg,8th
007.jpeg,Gen
007.jpeg,Core
007.jpeg,"i5,"
007.jpeg,8GB
007.jpeg,"DDR4,"
007.jpeg,New
007.jpeg,240GB
007.jpeg,"SSD,"
007.jpeg,DVD
007.jpeg,6.
007.jpeg,Custom
007.jpeg,Gaming
007.jpeg,PC
007.jpeg,Computer
007.jpeg,"1,00"
007.jpeg,FX-6300
007.jpeg,3.5GHz
007.jpeg,8GB
007.jpeg,RAM
007.jpeg,128GB
007.jpeg,SSD
007.jpeg,1
007.jpeg,TB
007.jpeg,HDD
007.jpeg,RX
007.jpeg,580
007.jpeg,4GB
007.jpeg,7.
007.jpeg,Custom
007.jpeg,Build
007.jpeg,HP
007.jpeg,Desktop
007.jpeg,"2,00"
007.jpeg,Computer
007.jpeg,16GB
007.jpeg,|
007.jpeg,2TB
007.jpeg,|
007.jpeg,SSD
007.jpeg,|
007.jpeg,Windows
007.jpeg,10
007.jpeg,Windows
007.jpeg,7
007.jpeg,PC
007.jpeg,WiFi
007.jpeg,SUMMARY
007.jpeg,VAT
007.jpeg,[%]
007.jpeg,10%
007.jpeg,Total
007.jpeg,11/24/2019
007.jpeg,UM
007.jpeg,eacn
007.jpeg,eacn
007.jpeg,eacn
007.jpeg,eacn
007.jpeg,eacn
007.jpeg,eacn
007.jpeg, 
007.jpeg,eacn
007.jpeg,Client:
007.jpeg,Tapia
007.jpeg,LLC
007.jpeg,53393
007.jpeg,Peters
007.jpeg,Overpass
007.jpeg,"Boothside,"
007.jpeg,WY
007.jpeg,76847
007.jpeg,Tax
007.jpeg,Id:
007.jpeg,979-96-3992
007.jpeg,Net
007.jpeg,price
007.jpeg,Net
007.jpeg,worth
007.jpeg,VAT
007.jpeg,[%]
007.jpeg,"89,99"
007.jpeg,"89,99"
007.jpeg,10%
007.jpeg,"69,95"
007.jpeg,"209,85"
007.jpeg,10%
007.jpeg,"256,68"
007.jpeg,1
007.jpeg,"283,40"
007.jpeg,10%
007.jpeg,"390,00"
007.jpeg,1
007.jpeg,"170,00"
007.jpeg,10%
007.jpeg,"202,50"
007.jpeg,"810,00"
007.jpeg,10%
007.jpeg,"449,99"
007.jpeg,"449,99"
007.jpeg,10%
007.jpeg,"329,00"
007.jpeg,"658,00"
007.jpeg,10%
007.jpeg,Net
007.jpeg,worth
007.jpeg,VAT
007.jpeg,4
007.jpeg,"671,23"
007.jpeg,"467,12"
007.jpeg,$
007.jpeg,4
007.jpeg,"671,23"
007.jpeg,$
007.jpeg,"467,12"
007.jpeg,Gross
007.jpeg,worth
007.jpeg,"98,99"
007.jpeg,"230,84"
007.jpeg,1
007.jpeg,"411,74"
007.jpeg,1
007.jpeg,"287,00"
007.jpeg,"891,00"
007.jpeg,"494,99"
007.jpeg,"723,80"
007.jpeg,Gross
007.jpeg,worth
007.jpeg,5
007.jpeg,"138,35"
007.jpeg,$5
007.jpeg,"138,35"
008.jpeg,Invoice
008.jpeg,no:
008.jpeg,74589240
008.jpeg,Date
008.jpeg,of
008.jpeg,issue:
008.jpeg,Seller:
008.jpeg,Hall-Boyd
008.jpeg,8719
008.jpeg,Reed
008.jpeg,Street
008.jpeg,Apt.
008.jpeg,120
008.jpeg,East
008.jpeg,"Michelleborough,"
008.jpeg,KY
008.jpeg,93895
008.jpeg,Tax
008.jpeg,Id:
008.jpeg,977-76-9492
008.jpeg,IBAN:
008.jpeg,GB51FSWB55572342266497
008.jpeg,ITEMS
008.jpeg,No.
008.jpeg,Description
008.jpeg,Qty
008.jpeg,tks
008.jpeg,3D
008.jpeg,Printed
008.jpeg,Mat
008.jpeg,Vortex
008.jpeg,Illusion
